# genetated time: 2023-07-28 18:19:57.437705
# histogram number: 2048
# sample number: 50
# tune number: 5
###
# op_name    threshold    min    max
/mobilevit/encoder/layer.2/transformer/layer.0/attention/attention/Reshape_3_output_0_Reshape 2.4768670 -2.3789990 2.4768670
/mobilevit/encoder/layer.2/transformer/layer.0/attention/output/dense/Add_output_0_Add 6.0106368 -3.6233280 5.5911474
/mobilevit/encoder/layer.2/transformer/layer.0/Add_output_0_Add 8.8407178 -10.1152735 12.8101473
/mobilevit/encoder/layer.2/transformer/layer.0/layernorm_after/Add_1_output_0_LayerNormalization 2.9372046 -2.6623888 2.8870327
/mobilevit/encoder/layer.2/transformer/layer.0/intermediate/dense/Add_output_0_Add 7.1366019 -8.7792215 5.1584029
/mobilevit/encoder/layer.2/transformer/layer.0/intermediate/intermediate_act_fn/Mul_output_0_Mul 3.5446543 -0.2784646 5.1289072
/mobilevit/encoder/layer.2/transformer/layer.0/output/dense/Add_output_0_Add 6.5536070 -6.5536070 5.9531240
/mobilevit/encoder/layer.2/transformer/layer.0/output/Add_output_0_Add 14.3929653 -12.5669861 14.1037426
/mobilevit/encoder/layer.2/transformer/layer.1/layernorm_before/Add_1_output_0_LayerNormalization 1.7904612 -1.6614078 1.7904612
/mobilevit/encoder/layer.2/transformer/layer.1/attention/attention/query/Add_output_0_Add 5.7494149 -6.4267101 6.1288776
/mobilevit/encoder/layer.2/transformer/layer.1/attention/attention/key/Add_output_0_Add 6.2853284 -6.0769720 5.5411277
/mobilevit/encoder/layer.2/transformer/layer.1/attention/attention/Reshape_output_0_Reshape 6.2853284 -6.0769720 5.5411277
/mobilevit/encoder/layer.2/transformer/layer.1/attention/attention/value/Add_output_0_Add 4.3629584 -4.0530429 4.3629584
/mobilevit/encoder/layer.2/transformer/layer.1/attention/attention/Reshape_1_output_0_Reshape 4.3629584 -4.0530429 4.3629584
/mobilevit/encoder/layer.2/transformer/layer.1/attention/attention/Transpose_output_0_Transpose 4.3629584 -4.0530429 4.3629584
/mobilevit/encoder/layer.2/transformer/layer.1/attention/attention/Reshape_2_output_0_Reshape 6.5675516 -6.4267101 6.1288776
/mobilevit/encoder/layer.2/transformer/layer.1/attention/attention/Transpose_1_output_0_Transpose 6.5675516 -6.4267101 6.1288776
/mobilevit/encoder/layer.2/transformer/layer.1/attention/attention/Transpose_2_output_0_Transpose 6.2853284 -6.0769720 5.5411277
/mobilevit/encoder/layer.2/transformer/layer.1/attention/attention/MatMul_output_0_MatMul 65.6384048 -66.8955536 87.4751434
/mobilevit/encoder/layer.2/transformer/layer.1/attention/attention/Div_output_0_Div 14.5791903 -11.1492586 14.5791903
/mobilevit/encoder/layer.2/transformer/layer.1/attention/attention/Softmax_output_0_Softmax 0.9998729 0.0000000 0.9997194
/mobilevit/encoder/layer.2/transformer/layer.1/attention/attention/MatMul_1_output_0_MatMul 2.9816289 -3.0684540 2.8486691
/mobilevit/encoder/layer.2/transformer/layer.1/attention/attention/Transpose_3_output_0_Transpose 3.4059119 -3.0684540 2.8486691
/mobilevit/encoder/layer.2/transformer/layer.1/attention/attention/Reshape_3_output_0_Reshape 3.4059119 -3.0684540 2.8486691
/mobilevit/encoder/layer.2/transformer/layer.1/attention/output/dense/Add_output_0_Add 5.3721995 -4.8480105 5.3721995
/mobilevit/encoder/layer.2/transformer/layer.1/Add_output_0_Add 13.7212378 -12.8914547 14.7573385
/mobilevit/encoder/layer.2/transformer/layer.1/layernorm_after/Add_1_output_0_LayerNormalization 3.6176152 -3.1250463 3.5935237
